,Rock Climbing Gym Name,State,City,Sq Ft,Rope Climbing,Website,Day pass price,Monthly Membership,Gym Rating,Number of Ratings
237,Rock Spot Climbing,Massachusetts,Boston,11000,Yes,https://southboston.rockspotclimbing.com/,24,120,4.7,323
238,MetroRock Newburyport,Massachusetts,Newburyport,NA,Yes,https://nbpt.metrorock.com/,25,125,4.7,46
239,MetroRock Climbing Center,Massachusetts,Everett,NA,Yes,https://metrorock.com/everett-home,25,125,4.8,88
240,Central Rock Gym Boston,Massachusetts,Boston,5000,No,https://centralrockgym.com/boston/,28,109,4.8,51
241,Challenge Rocks,Massachusetts,Hingham,NA,Yes,https://www.challengerocks.com/,NA,NA,4.6,117
242,Rock Spot Climbing,Massachusetts,Boston,9000,Yes,https://boston.rockspotclimbing.com/,22,95,4.7,44
243,La Vida Rock Gym,Massachusetts,Weham,NA,Yes,https://www.gordon.edu/rockgym,12,60,5,2
244,MetroRock Littleton,Massachusetts,Littleton,NA,Yes,https://littleton.metrorock.com/,25,125,4.8,60
245,Planet Rock Madison Heights,Michigan,Madison Heights,NA,Yes,https://planet-rock.com/,18,72,4.6,257
246,Planet Rock Ann Arbor,Michigan,Ann Arbor,NA,Yes,https://planet-rock.com/,18,72,4.6,462
247,Terra Firma Bouldering Co,Michigan,Grand Rapids,12000,No,https://www.climbterrafirma.com/,16,69,4.9,336
248,Climb Kalamazoo,Michigan,Kalamazoo,NA,Yes,https://www.climbkalamazoo.org/,14,45,4.7,89
249,Scrapyard Climbing Collective,Michigan,Holland,3200,Yes,https://scrapyardclimbing.com/,12,55,5,58
250,Higher Ground Rock Climbing Centre,Michigan,Grand Rapids,NA,Yes,https://higround.com/,15,70,4.8,65
251,DYNO Detroit Climbing,Michigan,Detroit,17000,Yes,https://www.dynodetroit.com/,20,79,4.9,101
252,ELEV8 Climbing and Fitness,Michigan,Traverse City,NA,Yes,https://www.elev8climbing.com/,22,112,4.8,21
253,Inside Moves LLC,Michigan,Byron Center,NA,Yes,http://www.insidemoves.com/,15,66,4.5,107
